,title,price,link_item,index,discount,sales
0,COMBO CƠ BẢN CHO DA MỤN DECUMAR ADVANCED,145.000₫,https://tiki.vn/combo-co-ban-cho-da-mun-decumar-advanced-p73923578.html?spid=73923579,1,-6%,Đã bán 621
1,Nước hoa hồng dành cho da khô da nhạy cảm Huxley Toner Extract It 120ml,348.000₫,https://tiki.vn/nuoc-hoa-hong-danh-cho-da-kho-da-nhay-cam-huxley-toner-extract-it-120ml-p2396249.html?spid=76790672,2,-20%,Đã bán 127
2,Sữa Rửa Mặt Collagen 3W Clinic (100ml),25.000₫,https://tiki.vn/sua-rua-mat-collagen-3w-clinic-100ml-p1196195.html?spid=11401006,3,-37%,Đã bán 70
3,Serum Mờ Thâm Trắng Da Kiềm Dầu Se Khít Lỗ Chân Lông Oriskin O’vita Light Serum 30ml,175.000₫,https://tiki.vn/serum-mo-tham-trang-da-kiem-dau-se-khit-lo-chan-long-oriskin-o-vita-light-serum-30ml-p155099959.html?spid=186272707,4,-39%,Đã bán 138
4,,,https://tiki.vn/kem-che-khuyet-diem-giam-mun-va-vet-tham-eucerin-proacne-correct-and-cover-stick-2-5g-p12084512.html?spid=26078575,5,-5%,
5,Mặt nạ giấy dưỡng trắng da nhạy cảm mụn thải độc cấp ẩm chống lão hóa làm sạch sâu HA Hyaluronic acid,85.000₫,https://tiki.vn/mat-na-giay-duong-trang-da-nhay-cam-mun-thai-doc-cap-am-chong-lao-hoa-lam-sach-sau-ha-hyaluronic-acid-p187512954.html?spid=187512956,6,-5%,Đã bán 1.2k
6,Tinh Chất Dưỡng Trắng Tối Ưu Hada Labo Perfect White Essence 30g,196.000₫,https://tiki.vn/tinh-chat-duong-trang-toi-uu-hada-labo-perfect-white-essence-30g-p54058497.html?spid=54058498,7,,Đã bán 865
7,Kem Hỗ Trợ Giảm Mụn Đầu Đen Cho Da Nhờn Acnevir đỏ ( Tuýp 15gr ),95.000₫,https://tiki.vn/kem-giam-mun-dau-den-dau-trang-mun-cam-acnevir-3-in-one-tuyp-15gr-p67474867.html?spid=67474868,8,-20%,Đã bán 384
8,Nước Khoáng Làm Dịu Và Bảo Vệ Da La Roche-Posay Thermal Spring Water (50ml) - M0362500,95.000₫,https://tiki.vn/nuoc-khoang-lam-diu-va-bao-ve-da-la-roche-posay-thermal-spring-water-50ml-m0362500-p470410.html?spid=125082440,9,-6%,Đã bán 8
9,,,https://tiki.vn/tinh-chat-phuc-hoi-lam-diu-da-sau-laser-lan-kim-peel-da-md-ceuticals-cocktail-post-treatment-skin-recovery-p247666472.html?spid=247666476,10,-9%,
10,Gel rửa mặt tạo bọt cho da nhạy cảm Bioderma Sensibio Gel Moussant - 200ml,423.000₫,https://tiki.vn/gel-rua-mat-tao-bot-cho-da-nhay-cam-bioderma-sensibio-gel-moussant-200ml-p59410721.html?spid=59410722,11,-26%,Đã bán 201
11,Gel Tẩy Tế Bào Chết Làm Mịn Da Bioderma Sebium Gel Gommant - 100ml,376.000₫,https://tiki.vn/gel-tay-te-bao-chet-lam-min-da-bioderma-sebium-gel-gommant-100ml-p50699265.html?spid=50699266,12,-30%,Đã bán 358
12,,,https://tiki.vn/sua-rua-mat-tay-te-bao-chet-svr-sebiaclear-gel-moussant-tuyp-200ml-sgm-p522736.html?spid=241421,13,-2%,
13,Nước hoa hồng Simple Kind To Skin Soothing Toner 200ml (Bill Anh),169.000₫,https://tiki.vn/nuoc-hoa-hong-simple-kind-to-skin-soothing-toner-200ml-bill-anh-p73348707.html?spid=73348708,14,,Đã bán 125
14,"Gel Dưỡng La Roche-Posay Làm Mờ Sẹo, Giúp Làm Dịu Cicaplast B5 40ml",376.000₫,https://tiki.vn/gel-duong-la-roche-posay-lam-mo-seo-giup-lam-diu-cicaplast-b5-40ml-p73397993.html?spid=73653805,15,-15%,Đã bán 113
15,Nước Tẩy Trang Nivea Ngừa Mụn Acne Care Micellar Water (400ML) - 80116,177.000₫,https://tiki.vn/nuoc-tay-trang-nivea-ngua-mun-acne-care-micellar-water-400ml-80116-p78020987.html?spid=78020988,16,,Đã bán 305
16,Sữa rửa mặt chiết xuất từ gạo Hàn Quốc cao cấp cho da nhạy cảm 3W Clinic Brown Rice Foam Cleansing (100ml) – Hàng chính hãng,24.500₫,https://tiki.vn/sua-rua-mat-chiet-xuat-tu-gao-han-quoc-cao-cap-cho-da-nhay-cam-3w-clinic-brown-rice-foam-cleansing-100ml-hang-chinh-hang-p12692056.html?spid=173586847,17,-36%,Đã bán 30
17,,,https://tiki.vn/sua-rua-mat-cho-da-kho-simple-moisturising-facial-wash-50ml-dang-tuyp-bill-anh-p78905854.html?spid=78905855,18,-11%,
18,"Natureine AQUA PEEL Moisture Peeling Gel - Gel tẩy tế bào da chết, cấp ẩm Nhật Bản - Chính Hãng",499.000₫,https://tiki.vn/natureine-aqua-peel-moisture-peeling-gel_gel-tay-te-bao-chet-nhat-ban-p57783000.html?spid=57783001,19,-39%,Đã bán 1.0k
19,(Package mới) Kem dưỡng Simple Kind To Skin Hydrating Light Moisturizer - Thường 125ml,159.000₫,https://tiki.vn/package-moi-kem-duong-simple-kind-to-skin-hydrating-light-moisturizer-thuong-125ml-p56252523.html?spid=56252524,20,,Đã bán 423
20,"Toner Cây Phỉ Cân Bằng Độ PH, Se Khít Lỗ Chân Lông & Phục Hồi Da Từ Chiết Xuất Cây Phỉ MILAGANICS 100ml (Chai)",98.000₫,https://tiki.vn/toner-cay-phi-can-bang-do-ph-se-khit-lo-chan-long-phuc-hoi-da-tu-chiet-xuat-cay-phi-milaganics-100ml-chai-p116785186.html?spid=116785187,21,,Đã bán 93
